26/10/2016 18:48:41,69.682121,18.978985,-88.98,21.00,20.00
26/10/2016 18:48:44,69.682114,18.978952,-95.70,22.00,17.00
26/10/2016 18:48:47,69.682114,18.978891,-99.06,22.00,17.00
26/10/2016 18:48:50,69.682106,18.978865,-98.22,22.00,17.00
26/10/2016 18:48:53,69.682106,18.978865,-98.22,21.00,16.00
26/10/2016 18:48:53,69.682106,18.978865,-98.22,22.00,17.00
26/10/2016 18:48:53,69.682106,18.978865,-85.62,21.00,16.00
26/10/2016 18:49:1,69.682083,18.978981,-98.22,22.00,17.00
26/10/2016 18:49:4,69.682076,18.978945,-99.06,22.00,17.00
26/10/2016 18:49:7,69.682091,18.978626,-98.22,21.00,16.00
26/10/2016 18:49:10,69.682098,18.978216,-99.90,21.00,15.00
26/10/2016 18:49:13,69.682098,18.978216,-98.22,22.00,17.00
26/10/2016 18:49:13,69.682098,18.978216,-99.06,22.00,15.00
26/10/2016 18:49:13,69.682098,18.978216,-78.06,22.00,17.00
26/10/2016 18:49:18,69.682098,18.978216,-93.18,22.00,17.00
26/10/2016 18:49:21,69.682098,18.978216,-99.06,22.00,17.00
26/10/2016 18:49:21,69.682098,18.978216,-83.94,22.00,17.00
26/10/2016 18:49:23,69.682098,18.978216,-99.90,22.00,16.00
26/10/2016 18:49:28,69.682098,18.978216,-98.22,22.00,18.00
26/10/2016 18:49:30,69.682098,18.978216,-95.70,22.00,18.00
26/10/2016 18:49:30,69.682098,18.978216,-98.22,22.00,15.00
26/10/2016 18:49:33,69.682098,18.978216,-99.90,22.00,17.00
26/10/2016 18:49:40,69.682098,18.978216,-93.18,22.00,17.00
26/10/2016 18:49:40,69.682098,18.978216,-99.90,21.00,16.00
26/10/2016 18:49:40,69.682098,18.978216,-73.86,22.00,17.00
26/10/2016 18:49:45,69.682098,18.978216,-99.90,22.00,17.00
26/10/2016 18:49:48,69.682098,18.978216,-78.06,22.00,16.00
26/10/2016 18:49:48,69.682098,18.978216,-98.22,22.00,16.00
26/10/2016 18:49:50,69.682098,18.978216,-88.14,22.00,16.00
